City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
402,korhogo,9.45,-5.6333,27.9,54,100,3.02,CI,1682376023
403,mount sterling,38.0565,-83.9433,12.39,43,0,2.06,US,1682376023
404,vanimo,-2.6741,141.3028,27.42,83,83,1.88,PG,1682376024
405,saint-denis,48.9167,2.3333,9.31,89,75,2.06,FR,1682376024
406,seven pagodas,12.6264,80.1722,29.47,80,70,4.64,IN,1682376024
407,mordovo,52.0834,40.77,10.84,83,87,3.03,RU,1682376024
408,kargil,34.5667,76.1,-4.41,47,0,1.97,IN,1682376024
409,nuuk,64.1835,-51.7216,3.34,87,100,4.63,GL,1682376025
410,fismes,49.3077,3.6861,7.13,93,100,0.43,FR,1682376025
411,lorengau,-2.0226,147.2712,28.4,80,90,3.53,PG,1682376025
412,coahuayana de hidalgo,18.7,-103.6583,29.02,56,68,2.89,MX,1682376025
413,pelabuhanratu,-6.9875,106.5514,25.65,86,85,1.3,ID,1682376026
414,aulnoye-aymeries,50.2014,3.8384,6.97,91,94,1.74,FR,1682376026
415,kidal,18.4411,1.4078,29.55,11,0,3.47,ML,1682376026
416,quellon,-43.1167,-73.6167,12.14,87,100,4.63,CL,1682376026
417,puerto ayacucho,5.6639,-67.6236,24.99,88,100,1.81,VE,1682376027
418,nizhnesortymskiy,62.4397,71.7603,-5.86,88,6,6.3,RU,1682376027
419,abepura,-2.6333,140.5833,26.45,83,40,0.0,ID,1682376027
420,siverskiy,59.3544,30.0783,11.68,70,84,2.75,RU,1682376028
421,harper,4.375,-7.7169,27.33,85,100,2.84,LR,1682376028
422,kaiyuan,23.6977,103.3037,17.98,81,25,2.28,CN,1682376028
423,san sebastian de la gomera,28.0916,-17.1133,20.2,77,0,2.57,ES,1682376028
424,queenstown,-31.8976,26.8753,14.16,62,100,0.71,ZA,1682376029
425,cururupu,-1.8283,-44.8683,24.5,87,97,1.79,BR,1682376050
426,al ghayzah,16.2079,52.176,27.76,73,33,3.07,YE,1682376050
427,chapaev,50.2,51.1667,13.63,80,100,6.18,KZ,1682376050
428,ca mau,9.1769,105.15,26.77,81,69,1.85,VN,1682375901
429,liwale,-9.7667,37.9333,20.51,98,88,1.65,TZ,1682376051
430,topeka,39.0483,-95.678,19.88,33,40,7.2,US,1682375764
431,kirkwall,58.9848,-2.9587,3.03,75,40,8.23,GB,1682376051
432,danilovka,50.3557,44.1168,11.89,91,100,4.43,RU,1682376051
433,catacocha,-4.0667,-79.6333,19.16,93,99,0.8,EC,1682376052
434,'ain el hadjar,34.7585,0.1453,15.28,54,0,1.91,DZ,1682376052
435,hancheng,32.5186,112.3522,8.13,89,100,2.74,CN,1682376052
436,yuzhno-kurilsk,44.0306,145.8556,6.27,50,6,5.67,RU,1682376052
437,khao wong,16.7001,104.0902,25.69,61,9,1.31,TH,1682376053
438,la serena,-29.9078,-71.2542,15.73,82,20,4.63,CL,1682375951
439,petrolina,-9.3986,-40.5008,28.03,54,20,2.57,BR,1682376053
440,nar'yan-mar,67.6713,53.087,-9.97,97,99,1.54,RU,1682376053
441,dwarka,22.2394,68.9678,26.06,82,62,5.59,IN,1682376053
442,itamaraca,-7.7478,-34.8256,27.03,84,61,3.63,BR,1682376054
443,yeniseysk,58.4497,92.1703,2.25,90,98,2.84,RU,1682376054
444,funafuti,-8.5243,179.1942,32.0,74,40,0.51,TV,1682376054
445,sangin,32.0728,64.8359,23.69,8,54,1.46,AF,1682376054
446,puerto el triunfo,13.2833,-88.55,33.48,64,92,3.16,SV,1682375982
447,richards bay,-28.783,32.0377,21.83,74,100,4.76,ZA,1682376055
448,raja,8.4596,25.678,25.46,62,95,1.73,SS,1682376055
449,vohibinany,-17.35,49.0333,21.31,96,2,1.53,MG,1682376055
450,coronel suarez,-37.4547,-61.9334,15.51,58,48,2.83,AR,1682376055
451,bardai,11.65,7.2333,27.98,33,100,1.63,NG,1682376056
452,boa vista,2.8197,-60.6733,27.99,74,75,2.57,BR,1682375891
453,ola,59.5833,151.2833,5.08,79,98,8.34,RU,1682376056
454,behshahr,36.6923,53.5526,16.67,70,76,2.46,IR,1682376056
455,gurupi,-11.7292,-49.0686,25.1,64,17,1.1,BR,1682376057
456,kenora,49.8167,-94.4337,4.54,41,75,3.09,CA,1682376057
457,luderitz,-26.6481,15.1594,16.89,86,0,3.84,NA,1682376057
458,san pedro pochutla,15.7333,-96.4667,31.51,56,56,3.39,MX,1682376057
459,phitsanulok,16.9167,100.5,25.06,54,2,1.76,TH,1682376057
460,manakara,-22.1333,48.0167,21.92,85,0,3.21,MG,1682376058
461,todaraisingh,26.0167,75.4833,23.76,31,99,3.16,IN,1682376058
462,spisska nova ves,48.9446,20.5615,9.55,98,100,0.77,SK,1682376058
463,sitka,57.0531,-135.33,3.94,81,100,5.66,US,1682376058
464,antsohihy,-14.8796,47.9875,23.44,97,43,1.12,MG,1682376058
465,masuda,34.6667,131.85,9.88,71,100,2.43,JP,1682376059
466,usinsk,65.9939,57.5281,-3.01,97,100,3.39,RU,1682376059
467,tyazhinskiy,56.116,88.524,-0.38,90,98,7.99,RU,1682376059
468,gujba,11.5032,11.9367,28.16,54,99,3.0,NG,1682376059
469,callao,-12.0667,-77.15,26.16,65,0,6.69,PE,1682375773
470,bom jesus,-9.0744,-44.3586,27.18,37,47,1.61,BR,1682376060
471,axim,4.8699,-2.2405,27.53,83,95,2.79,GH,1682376060
472,makhambet,47.6667,51.5833,18.86,33,100,11.77,KZ,1682376060
473,patterson,37.4716,-121.1297,27.79,27,42,4.27,US,1682376061
474,knyaze-volkonskoye,48.4642,135.4567,6.19,39,97,4.76,RU,1682376061
475,antsiranana,-12.2787,49.2917,24.75,89,99,1.36,MG,1682376061
476,morehead,37.2711,-87.1764,13.86,26,0,1.54,US,1682376061
477,at taj,24.2049,23.2857,26.64,20,22,9.34,LY,1682376062
478,chegdomyn,51.1167,133.0167,2.34,56,75,2.69,RU,1682376062
479,santa rosa del sur,7.9644,-74.0544,22.66,88,63,1.29,CO,1682376062
480,novo aripuana,-5.1206,-60.3797,23.98,96,89,0.97,BR,1682376063
481,fort bragg,35.139,-79.006,19.39,41,0,2.06,US,1682375819
482,fuglafjordur,62.244,-6.814,1.26,62,100,8.43,FO,1682376063
483,nouadhibou,20.931,-17.0347,18.99,82,0,8.23,MR,1682376063
484,arteche,12.2645,125.4048,26.32,86,71,3.2,PH,1682376064
485,the pas,53.8251,-101.2541,6.01,39,0,5.14,CA,1682376064
486,el granada,37.5027,-122.4694,23.6,65,20,12.86,US,1682376065
487,manay,7.215,126.5397,27.42,73,60,2.14,PH,1682376065
488,alofi,-19.0595,-169.9187,27.94,74,75,3.6,NU,1682376065
489,aquidauana,-20.4711,-55.7872,22.38,93,30,1.44,BR,1682376066
490,thourotte,49.4759,2.8821,9.35,93,97,0.96,FR,1682376066
491,chegutu,-18.1302,30.1407,16.15,58,66,1.67,ZW,1682376066
492,torres,-29.3353,-49.7269,21.57,91,56,3.44,BR,1682376067
493,talalayivka,50.9578,31.9209,9.05,79,51,2.8,UA,1682376067
494,amble,55.3333,-1.5833,4.08,76,20,3.6,GB,1682376067
495,slupsk,54.4641,17.0287,10.81,92,100,5.44,PL,1682376067
496,rio grande,-32.035,-52.0986,22.06,84,19,8.05,BR,1682375903
497,caraballeda,10.6112,-66.8522,29.04,61,71,2.57,VE,1682376068
498,beledweyne,4.7358,45.2036,27.27,75,74,5.98,SO,1682376068
499,san antonio de pale,-1.4014,5.6325,28.23,70,59,0.61,GQ,1682376068
500,naha,26.2125,127.6811,22.95,80,75,3.6,JP,1682376068
501,tot'ma,59.9747,42.7642,8.37,74,14,2.8,RU,1682376069
502,serang,-6.1149,106.1502,25.31,89,92,1.66,ID,1682376069
503,webster,42.0501,-71.8801,14.27,54,88,1.97,US,1682376069
504,vila velha,-20.3297,-40.2925,23.97,87,0,2.57,BR,1682376069
505,pointe-noire,-4.7761,11.8635,26.94,86,85,0.64,CG,1682376070
506,suining,30.508,105.5733,10.32,86,99,0.99,CN,1682376070
507,esquel,-42.9,-71.3167,10.67,72,97,3.16,AR,1682375830
508,gereida,11.2811,25.1414,29.08,41,47,3.3,SD,1682376070
509,kudahuvadhoo,2.6708,72.8944,28.36,77,99,3.19,MV,1682376071
510,newman,37.3138,-121.0208,27.91,27,36,3.13,US,1682376071
511,monrovia,6.3005,-10.7969,23.87,82,69,2.89,LR,1682375803
512,ust-tsilma,65.441,52.1498,-1.05,98,100,2.51,RU,1682376071
513,angaur state,6.906,134.13,28.22,73,13,2.88,PW,1682376072
514,tazacorte,28.629,-17.9293,19.54,88,40,4.12,ES,1682376072
515,castlegar,49.2998,-117.6689,13.38,99,100,1.05,CA,1682376072
516,hotan,37.0997,79.9269,15.65,16,0,3.22,CN,1682376072
517,campo gallo,-26.5833,-62.85,17.18,83,84,1.98,AR,1682376073
518,buta,2.7858,24.73,21.43,89,97,1.19,CD,1682376073
519,la sarre,48.8002,-79.1996,1.7,91,100,3.35,CA,1682375968
520,mbandaka,0.0487,18.2603,23.41,82,97,1.72,CD,1682376073
521,tsiombe,-25.3,45.4833,19.2,88,0,1.71,MG,1682376073
522,nogliki,51.8333,143.1667,2.49,72,89,5.99,RU,1682376074
523,la union,-5.4,-80.75,28.58,60,100,4.53,PE,1682376074
524,zacualtipan,20.65,-98.6,16.43,86,82,2.41,MX,1682376074
525,luganville,-15.5333,167.1667,28.18,73,85,3.12,VU,1682376074
526,howard springs,-12.497,131.047,27.15,89,35,3.97,AU,1682376074
527,botshabelo,-29.2702,26.7052,19.65,26,100,2.52,ZA,1682376075
528,kerikeri,-35.2268,173.9474,18.28,76,3,0.89,NZ,1682376075
529,freetown,8.484,-13.2299,26.84,78,20,5.66,SL,1682376075
530,san javier,37.8063,-0.8374,18.15,81,0,1.79,ES,1682376075
531,sao vicente,-23.9631,-46.3919,24.99,26,16,0.89,BR,1682376076
532,agbabu,6.5886,4.8343,26.06,86,100,1.18,NG,1682376076
533,shush,32.1942,48.2436,26.01,41,100,3.15,IR,1682376076
534,lengshuitan,26.4111,111.5956,10.65,91,100,1.28,CN,1682376077
535,mildura,-34.2,142.15,20.47,42,11,3.88,AU,1682376077
536,lincoln city,44.9582,-124.0179,14.47,84,84,3.58,US,1682376077
537,ekibastuz,51.6667,75.3667,4.55,55,14,2.4,KZ,1682376077
538,aksaray,38.3726,34.0254,9.53,46,2,1.65,TR,1682376078
539,weno,7.4515,151.8468,28.97,84,100,1.54,FM,1682376078
540,port lavaca,28.615,-96.6261,22.39,84,100,4.63,US,1682376078
541,patu,-6.11,-37.6367,26.55,66,94,2.76,BR,1682376078
542,noosa heads,-26.3833,153.15,23.39,63,64,9.39,AU,1682376079
543,inhambane,-23.865,35.3833,21.81,79,12,1.98,MZ,1682376079
544,kariong,-33.44,151.3011,17.67,59,96,0.91,AU,1682376079
545,geraldton,-28.7667,114.6,13.23,88,75,1.54,AU,1682376079
546,faya-largeau,17.9257,19.1043,33.46,6,100,3.98,TD,1682376080
547,kapuskasing,49.4169,-82.4331,0.05,74,100,4.63,CA,1682376080
548,salekhard,66.53,66.6019,-7.2,87,24,4.59,RU,1682376080
549,sibirskiy,53.5777,83.7577,2.44,81,100,5.79,RU,1682376080
550,north battleford,52.7834,-108.2847,12.05,32,40,11.83,CA,1682376063
551,sechura,-5.5569,-80.8222,27.91,63,100,4.68,PE,1682376081
552,porto seguro,-16.4497,-39.0647,23.29,94,75,1.54,BR,1682375929
553,dalbandin,28.8947,64.4101,24.65,24,100,3.21,PK,1682376081
554,hami,42.8,93.45,12.61,19,6,1.6,CN,1682375954
555,auki,-8.7676,160.7034,28.94,71,44,0.73,SB,1682376082
556,payson,40.0444,-111.7321,14.71,41,75,2.57,US,1682376015
557,christchurch,-43.5333,172.6333,15.51,65,14,2.06,NZ,1682376082
558,ponta delgada,37.7333,-25.6667,17.4,100,75,3.6,PT,1682376083
559,rikaze,29.25,88.8833,1.37,51,77,1.73,CN,1682376083
560,new norfolk,-42.7826,147.0587,13.73,76,100,1.9,AU,1682376083
561,at taraf,25.3628,49.725,25.3,36,47,3.13,SA,1682376083
562,baruun-urt,46.6806,113.2792,-2.98,63,18,2.01,MN,1682376084
563,souillac,-20.5167,57.5167,24.21,94,20,1.54,MU,1682376084
564,namibe,-15.1961,12.1522,23.54,71,52,2.82,AO,1682376084
565,lucon,46.4577,-1.1651,12.05,93,100,3.07,FR,1682376084
566,burley,42.5357,-113.7928,12.98,37,75,8.75,US,1682376085
567,galliano,29.4422,-90.2992,23.0,46,0,4.63,US,1682376085
568,mormugao,15.4,73.8,24.39,82,1,1.72,IN,1682376085
569,mahanje,-9.9333,35.3333,17.5,97,10,1.02,TZ,1682376085
570,bruay-sur-l'escaut,50.3992,3.5438,9.06,95,86,2.41,FR,1682376086
571,filey,54.21,-0.2892,5.99,77,79,8.24,GB,1682376086
572,rabo de peixe,37.8,-25.5833,16.73,100,75,3.6,PT,1682376086
573,kyshtovka,56.555,76.6271,-1.07,74,3,3.23,RU,1682376086
574,mariental,-24.6333,17.9667,17.0,75,0,3.2,NA,1682376087
575,ixtapa,20.7,-105.2,26.57,65,75,6.17,MX,1682376087
